source_name,destination_name,actual_distance_to_destination,actual_time,osrm_distance,osrm_time,factor,segment_actual_time,segment_osrm_time,segment_osrm_distance
Anand_VUNagar_DC (Gujarat),Khambhat_MotvdDPP_D (Gujarat),10.43566024429648,14.0,11.9653,11.0,1.2727272727272727,14.0,11.0,11.9653
Anand_VUNagar_DC (Gujarat),Khambhat_MotvdDPP_D (Gujarat),18.936842298356797,24.0,21.7243,20.0,1.2,10.0,9.0,9.759
Anand_VUNagar_DC (Gujarat),Khambhat_MotvdDPP_D (Gujarat),27.637279038207375,40.0,32.5395,28.0,1.4285714285714286,16.0,7.0,10.8152
Anand_VUNagar_DC (Gujarat),Khambhat_MotvdDPP_D (Gujarat),36.11802825625959,62.0,45.562,40.0,1.55,21.0,12.0,13.0224
Anand_VUNagar_DC (Gujarat),Khambhat_MotvdDPP_D (Gujarat),39.38604027413606,68.0,54.2181,44.0,1.5454545454545454,6.0,5.0,3.9153
Khambhat_MotvdDPP_D (Gujarat),Anand_Vaghasi_IP (Gujarat),10.403037858010348,15.0,12.1171,11.0,1.3636363636363635,15.0,11.0,12.1171
Khambhat_MotvdDPP_D (Gujarat),Anand_Vaghasi_IP (Gujarat),18.045481162383616,44.0,21.289,17.0,2.588235294117647,28.0,6.0,9.1719
Khambhat_MotvdDPP_D (Gujarat),Anand_Vaghasi_IP (Gujarat),28.06189600458264,65.0,35.825199999999995,29.0,2.2413793103448274,21.0,11.0,14.5362
Khambhat_MotvdDPP_D (Gujarat),Anand_Vaghasi_IP (Gujarat),38.93916664322695,76.0,47.19,39.0,1.948717948717949,10.0,10.0,11.3648
Khambhat_MotvdDPP_D (Gujarat),Anand_Vaghasi_IP (Gujarat),43.59580172416874,102.0,53.2334,45.0,2.2666666666666666,26.0,6.0,6.043399999999999
Bhiwandi_Mankoli_HB (Maharashtra),Pune_Tathawde_H (Maharashtra),23.19433368553609,38.0,26.8622,24.0,1.5833333333333333,38.0,24.0,26.8622
Bhiwandi_Mankoli_HB (Maharashtra),Pune_Tathawde_H (Maharashtra),44.04565880253596,76.0,54.4326,41.0,1.853658536585366,37.0,27.0,30.1058
Bhiwandi_Mankoli_HB (Maharashtra),Pune_Tathawde_H (Maharashtra),72.84932736996993,117.0,89.668,68.0,1.7205882352941178,41.0,26.0,35.2353
Bhiwandi_Mankoli_HB (Maharashtra),Pune_Tathawde_H (Maharashtra),88.07659948580108,141.0,108.3939,80.0,1.7625,23.0,14.0,17.2476
Bhiwandi_Mankoli_HB (Maharashtra),Pune_Tathawde_H (Maharashtra),100.70842292819516,183.0,129.3519,95.0,1.926315789473684,41.0,15.0,20.958
LowerParel_CP (Maharashtra),Mumbai_Chndivli_PC (Maharashtra),9.35585245659368,46.0,11.4344,11.0,4.181818181818182,46.0,11.0,11.4344
LowerParel_CP (Maharashtra),Mumbai_Chndivli_PC (Maharashtra),16.431272910022397,60.0,18.7941,16.0,3.75,14.0,5.0,7.3597
Bangalore_Nelmngla_H (Karnataka),Bengaluru_Bomsndra_HB (Karnataka),23.63581070305604,30.0,28.9765,30.0,1.0,30.0,30.0,28.9765
Bangalore_Nelmngla_H (Karnataka),Bengaluru_Bomsndra_HB (Karnataka),39.806035605838,67.0,52.1256,53.0,1.2641509433962264,37.0,26.0,24.9545
